model,triplet_id,domain,concept,layer,dist_asym,dist_lit,dist_sym,dist_scram
TinyLlama-1.1B,1,Relational,Giri (義理),0,0.8606495,0.34413022,0.6481606,0.8606495
TinyLlama-1.1B,1,Relational,Giri (義理),1,0.22702307,0.0424968,0.094117165,0.2407431
TinyLlama-1.1B,1,Relational,Giri (義理),2,0.18900418,0.041950822,0.1082629,0.2004236
TinyLlama-1.1B,1,Relational,Giri (義理),3,0.008155584,0.0007187724,0.0016309619,0.0083524585
TinyLlama-1.1B,1,Relational,Giri (義理),4,0.015014589,0.0015366673,0.0030520558,0.014440119
TinyLlama-1.1B,1,Relational,Giri (義理),5,0.02307856,0.0026144981,0.004777789,0.023696601
TinyLlama-1.1B,1,Relational,Giri (義理),6,0.03728956,0.0041208267,0.0068377256,0.04017526
TinyLlama-1.1B,1,Relational,Giri (義理),7,0.057007313,0.006174326,0.00932318,0.0697366
TinyLlama-1.1B,1,Relational,Giri (義理),8,0.07741964,0.009552538,0.014001787,0.10148752
TinyLlama-1.1B,1,Relational,Giri (義理),9,0.091448724,0.010680735,0.014643908,0.11994392
TinyLlama-1.1B,1,Relational,Giri (義理),10,0.115832925,0.013489604,0.019276798,0.158512
TinyLlama-1.1B,1,Relational,Giri (義理),11,0.13462222,0.018292487,0.021897912,0.17610711
TinyLlama-1.1B,1,Relational,Giri (義理),12,0.15195256,0.021607518,0.026082754,0.22612566
TinyLlama-1.1B,1,Relational,Giri (義理),13,0.17254448,0.0249058,0.031404674,0.28499097
TinyLlama-1.1B,1,Relational,Giri (義理),14,0.2018947,0.030354679,0.036729038,0.32093924
TinyLlama-1.1B,1,Relational,Giri (義理),15,0.22494477,0.038633823,0.043904603,0.32094252
TinyLlama-1.1B,1,Relational,Giri (義理),16,0.28946978,0.04743439,0.069663346,0.3730448
TinyLlama-1.1B,1,Relational,Giri (義理),17,0.33889544,0.061719716,0.096741736,0.40541458
TinyLlama-1.1B,1,Relational,Giri (義理),18,0.35900098,0.07437307,0.15733588,0.42242068
TinyLlama-1.1B,1,Relational,Giri (義理),19,0.48516113,0.08422935,0.22831464,0.5008639
TinyLlama-1.1B,1,Relational,Giri (義理),20,0.47702062,0.09261918,0.31047016,0.4542368
TinyLlama-1.1B,1,Relational,Giri (義理),21,0.6593919,0.104583144,0.4516852,0.6536504
TinyLlama-1.1B,1,Relational,Giri (義理),22,0.84677994,0.13351125,0.62334013,0.8580289
TinyLlama-1.1B,2,Relational,Ninjo (人情),0,0.8698435,0.14119804,0.7244146,0.8698435
TinyLlama-1.1B,2,Relational,Ninjo (人情),1,0.22161347,0.01582694,0.118424,0.21743584
TinyLlama-1.1B,2,Relational,Ninjo (人情),2,0.19685036,0.015443504,0.10862869,0.20130801
TinyLlama-1.1B,2,Relational,Ninjo (人情),3,0.008853972,0.00015211105,0.0014064312,0.009289026
TinyLlama-1.1B,2,Relational,Ninjo (人情),4,0.01622492,0.0002771616,0.002447009,0.017439008
TinyLlama-1.1B,2,Relational,Ninjo (人情),5,0.026673377,0.00047761202,0.0041174293,0.028609812
TinyLlama-1.1B,2,Relational,Ninjo (人情),6,0.03975302,0.0007132888,0.0060396194,0.044591904
TinyLlama-1.1B,2,Relational,Ninjo (人情),7,0.059571803,0.0011290908,0.007896364,0.077539444
TinyLlama-1.1B,2,Relational,Ninjo (人情),8,0.08005488,0.0015794635,0.011058867,0.11289662
TinyLlama-1.1B,2,Relational,Ninjo (人情),9,0.09693396,0.0018999577,0.012977064,0.13536352
TinyLlama-1.1B,2,Relational,Ninjo (人情),10,0.123758614,0.0029466152,0.017380714,0.18063909
TinyLlama-1.1B,2,Relational,Ninjo (人情),11,0.13957089,0.0043675303,0.020913005,0.2007742
TinyLlama-1.1B,2,Relational,Ninjo (人情),12,0.16573578,0.004930079,0.027664483,0.2505632
TinyLlama-1.1B,2,Relational,Ninjo (人情),13,0.18086624,0.0061409473,0.03357941,0.29533517
TinyLlama-1.1B,2,Relational,Ninjo (人情),14,0.2043904,0.00771147,0.042928576,0.3272506
TinyLlama-1.1B,2,Relational,Ninjo (人情),15,0.2224893,0.009391308,0.048853397,0.34744966
TinyLlama-1.1B,2,Relational,Ninjo (人情),16,0.2799257,0.011685431,0.081288815,0.41209662
TinyLlama-1.1B,2,Relational,Ninjo (人情),17,0.30722445,0.01489234,0.10380119,0.44130725
TinyLlama-1.1B,2,Relational,Ninjo (人情),18,0.33753085,0.023457408,0.15930301,0.45650655
TinyLlama-1.1B,2,Relational,Ninjo (人情),19,0.4806872,0.02434057,0.23719329,0.5184916
TinyLlama-1.1B,2,Relational,Ninjo (人情),20,0.46359456,0.026223958,0.34417325,0.476022
TinyLlama-1.1B,2,Relational,Ninjo (人情),21,0.6561531,0.02902484,0.49485153,0.6887698
