concept,layer,dist_asym,dist_lit,dist_sym,dist_scram
Giri,0,0.8935278,0.30265415,0.71013504,0.8935278
Giri,1,0.22108346,0.040744424,0.11077201,0.22314942
Giri,2,0.1896131,0.03592491,0.11548138,0.2058481
Giri,3,0.004978955,0.00043421984,0.0009899735,0.004370272
Giri,4,0.009493887,0.0007892251,0.0016969442,0.008437932
Giri,5,0.015169978,0.0014594793,0.0026080608,0.014201343
Giri,6,0.024347544,0.0024160743,0.0036791563,0.02496779
Giri,7,0.036801994,0.003454566,0.0053480864,0.042825162
Giri,8,0.050260425,0.0061095953,0.008535624,0.0641945
Giri,9,0.059892118,0.0078341365,0.009068549,0.07815641
Giri,10,0.078066766,0.010507226,0.012416482,0.108882666
Giri,11,0.08968276,0.013896465,0.014382362,0.12657434
Giri,12,0.108092785,0.016335905,0.017163754,0.17218739
Giri,13,0.12448031,0.020709813,0.021709263,0.23550361
Giri,14,0.1463356,0.026163995,0.025446475,0.26152706
Giri,15,0.16819894,0.031140685,0.03042376,0.2741965
Giri,16,0.21848989,0.040057182,0.052867174,0.30801702
Giri,17,0.256172,0.05555767,0.068814635,0.3361507
Giri,18,0.27737218,0.06918216,0.12035334,0.35650873
Giri,19,0.41010004,0.07724255,0.18254858,0.44245315
Giri,20,0.4094627,0.09103066,0.26570386,0.41465068
Giri,21,0.59213865,0.103755414,0.39355195,0.60089266
Giri,22,0.864438,0.15305722,0.58548486,0.83630955
Wa,0,0.8934337,0.31218207,0.77649987,0.8934337
Wa,1,0.24637967,0.04606861,0.15256768,0.24275368
Wa,2,0.21178365,0.044192016,0.12366599,0.20229053
Wa,3,0.003897071,0.0005760193,0.0014318824,0.003792584
Wa,4,0.0072003007,0.0009714365,0.002295971,0.0069517493
Wa,5,0.012017906,0.0018954873,0.003949821,0.012202203
Wa,6,0.019342959,0.0029184818,0.0056250095,0.020167172
Wa,7,0.029676676,0.004159212,0.007271886,0.035593987
Wa,8,0.039940953,0.007108867,0.010409713,0.050539017
Wa,9,0.048522294,0.008369029,0.011783302,0.06241083
Wa,10,0.0627954,0.011260748,0.015494168,0.081830084
Wa,11,0.074160695,0.0149617195,0.018348336,0.095594704
Wa,12,0.08749759,0.01720196,0.022883773,0.11609304
Wa,13,0.1022203,0.021232009,0.027584016,0.14050806
Wa,14,0.12791622,0.028631568,0.03366953,0.17126584
Wa,15,0.15041864,0.03516513,0.03926611,0.19650602
Wa,16,0.20291007,0.042972267,0.06676501,0.25637966
Wa,17,0.24215531,0.05916238,0.08157039,0.3097862
Wa,18,0.2690788,0.06560665,0.13461018,0.34081382
Wa,19,0.39452183,0.076652706,0.20469713,0.42209148
Wa,20,0.3853215,0.08674109,0.2992893,0.39922708
Wa,21,0.5659251,0.099764764,0.4398523,0.5940331
Wa,22,0.9048508,0.14513361,0.70293117,0.92451084
Ikigai,0,0.8990018,0.39716375,0.60429823,0.8990018
Ikigai,1,0.21742469,0.052164257,0.10606557,0.2247957
Ikigai,2,0.19169039,0.05306816,0.10087508,0.20359719
Ikigai,3,0.0021489263,0.0005182028,0.00095140934,0.0019559264
Ikigai,4,0.0041407943,0.00096583366,0.0018247962,0.0037862659
Ikigai,5,0.0068739653,0.0015288591,0.0029642582,0.0065045953
Ikigai,6,0.011009932,0.0023462772,0.004410267,0.010872066
Ikigai,7,0.017608047,0.0034083724,0.0059711337,0.018826723
Ikigai,8,0.023968756,0.005596578,0.008224845,0.028181791
Ikigai,9,0.029776752,0.0070204735,0.00917846,0.036349595
Ikigai,10,0.038915396,0.0094486475,0.011653125,0.048584938
Ikigai,11,0.04798776,0.013648689,0.013461828,0.060441613
Ikigai,12,0.056753576,0.015120566,0.016159713,0.075220704
Ikigai,13,0.06669879,0.019663155,0.020661712,0.09537953
Ikigai,14,0.08210379,0.024990618,0.025254011,0.11692804
Ikigai,15,0.10044855,0.034263194,0.029618561,0.14051789
Ikigai,16,0.14153945,0.045865715,0.051958144,0.19199163
Ikigai,17,0.17710298,0.06141132,0.06684786,0.23965001
Ikigai,18,0.21955353,0.08124864,0.10826057,0.29379147
Ikigai,19,0.34464222,0.100435615,0.17912734,0.4035331
Ikigai,20,0.36275488,0.1114884,0.27286178,0.4066354
Ikigai,21,0.51301754,0.122177064,0.42067152,0.5784492
Ikigai,22,0.8772563,0.20155066,0.62968445,0.8987549
