layer,dist_asym,dist_lit,dist_sym,dist_scram
0,0.8953211,0.33733332,0.6969777,0.8953211
1,0.22829594,0.04632576,0.12313509,0.23023294
2,0.19769572,0.04439503,0.11334082,0.20391195
3,0.003674984,0.00050948065,0.0011244217,0.0033729274
4,0.006944994,0.0009088318,0.0019392371,0.006391982
5,0.01135395,0.001627942,0.0031740468,0.010969381
6,0.018233478,0.0025602777,0.0045714774,0.01866901
7,0.028028905,0.00367405,0.0061970353,0.03241529
8,0.038056713,0.0062716804,0.009056727,0.047638435
9,0.04606372,0.007741213,0.010010104,0.05897228
10,0.059925854,0.0104055405,0.013187925,0.07976589
11,0.070610404,0.014168958,0.015397509,0.094203554
12,0.08411465,0.016219476,0.018735746,0.12116704
13,0.0977998,0.020534992,0.02331833,0.1571304
14,0.1187852,0.026595393,0.02812334,0.18324031
15,0.13968872,0.033523005,0.03310281,0.20374013
16,0.18764646,0.042965055,0.057196777,0.25212944
17,0.22514343,0.058710456,0.07241096,0.29519564
18,0.25533482,0.072012484,0.1210747,0.33037135
19,0.38308802,0.08477696,0.18879102,0.42269257
20,0.38584638,0.09642005,0.27928498,0.4068377
21,0.5570271,0.10856575,0.41802526,0.591125
22,0.88218164,0.1665805,0.6393668,0.8865251
